"Title","Body","Labels","Phase","Priority","ID"
"[F6-03] Cierre semanal y bonus top 3","## Fase
- F6 - Escudo + Ranking

## Prioridad
- P1

## Dependencias
- F6-02

## Entregable
- scheduler dominical de cierre

## Criterios de aceptacion
- calcula top 3 equipos
- reparte bonus solo a fans activos
- resetea estado semanal sin perder historico

## Checklist
- [ ] Implementacion completa
- [ ] Pruebas ejecutadas
- [ ] Documentacion actualizada","backlog,phase:F6,priority:P1","F6","P1","F6-03"
"[F6-04] UI ranking de equipos","## Fase
- F6 - Escudo + Ranking

## Prioridad
- P2

## Dependencias
- F6-03

## Entregable
- pantalla ranking con contribucion personal

## Criterios de aceptacion
- tabla completa de equipos
- indicador de posicion del equipo favorito del usuario
- refresco sin bloqueos visibles

## Checklist
- [ ] Implementacion completa
- [ ] Pruebas ejecutadas
- [ ] Documentacion actualizada","backlog,phase:F6,priority:P2","F6","P2","F6-04"
"[F7-01] Perfil tipster y metricas de rendimiento","## Fase
- F7 - Tipsters + Sorteos

## Prioridad
- P1

## Dependencias
- F4-03

## Entregable
- campos y calculo de `successRate`

## Criterios de aceptacion
- `successRate` actualizado por jornada
- `isPublicProfile` configurable por usuario
- lectura segura de perfil publico

## Checklist
- [ ] Implementacion completa
- [ ] Pruebas ejecutadas
- [ ] Documentacion actualizada","backlog,phase:F7,priority:P1","F7","P1","F7-01"
"[F7-02] Replicacion con limites anti-cascada","## Fase
- F7 - Tipsters + Sorteos

## Prioridad
- P0

## Dependencias
- F7-01

## Entregable
- funcion de replicacion con restricciones

## Criterios de aceptacion
- limite de seguidores aplicado
- maximo de replica por jornada aplicado
- cooldown por bajo rendimiento aplicado

## Checklist
- [ ] Implementacion completa
- [ ] Pruebas ejecutadas
- [ ] Documentacion actualizada","backlog,phase:F7,priority:P0","F7","P0","F7-02"
"[F7-03] Sorteos con participants en subcoleccion","## Fase
- F7 - Tipsters + Sorteos

## Prioridad
- P1

## Dependencias
- F1-03

## Entregable
- modelo de raffles sin arrays gigantes

## Criterios de aceptacion
- entries se guardan en `participants/{uid}`
- contador total consistente
- sin riesgo de limite 1MB por documento

## Checklist
- [ ] Implementacion completa
- [ ] Pruebas ejecutadas
- [ ] Documentacion actualizada","backlog,phase:F7,priority:P1","F7","P1","F7-03"
"[F7-04] Funcion `drawRaffle` segura","## Fase
- F7 - Tipsters + Sorteos

## Prioridad
- P1

## Dependencias
- F7-03

## Entregable
- seleccion de ganador trazable

## Criterios de aceptacion
- ganador pertenece a participantes validos
- write final incluye estado y winnerId
- audit log generado para sorteo

## Checklist
- [ ] Implementacion completa
- [ ] Pruebas ejecutadas
- [ ] Documentacion actualizada","backlog,phase:F7,priority:P1","F7","P1","F7-04"
"[F8-01] Hardening de seguridad final","## Fase
- F8 - Polish + Launch

## Prioridad
- P0

## Dependencias
- fases F0-F7

## Entregable
- App Check, rules finales, validaciones cerradas

## Criterios de aceptacion
- App Check habilitado en produccion
- rules revisadas y sin permisos abiertos
- checklist de seguridad firmado

## Checklist
- [ ] Implementacion completa
- [ ] Pruebas ejecutadas
- [ ] Documentacion actualizada","backlog,phase:F8,priority:P0","F8","P0","F8-01"
"[F8-02] Pruebas de carga y resiliencia","## Fase
- F8 - Polish + Launch

## Prioridad
- P0

## Dependencias
- F4-03

## Entregable
- reporte de stress test y tuning

## Criterios de aceptacion
- prueba de picks concurrentes ejecutada
- publish masivo dentro de SLA definido
- no hay inconsistencias de balance

## Checklist
- [ ] Implementacion completa
- [ ] Pruebas ejecutadas
- [ ] Documentacion actualizada","backlog,phase:F8,priority:P0","F8","P0","F8-02"
"[F8-03] Observabilidad y control de costos","## Fase
- F8 - Polish + Launch

## Prioridad
- P1

## Dependencias
- F8-01

## Entregable
- dashboards, alertas y runbooks

## Criterios de aceptacion
- alertas de budget 50/80/100 activas
- alertas de errores criticos activas
- dashboard KPI minimo operativo

## Checklist
- [ ] Implementacion completa
- [ ] Pruebas ejecutadas
- [ ] Documentacion actualizada","backlog,phase:F8,priority:P1","F8","P1","F8-03"
"[F8-04] Despliegue local comunitario","## Fase
- F8 - Polish + Launch

## Prioridad
- P1

## Dependencias
- F8-02, F8-03

## Entregable
- despliegue local estable con operacion comunitaria

## Criterios de aceptacion
- piloto local con usuarios reales ejecutado
- bugs criticos de flujo principal cerrados
- plan operativo local documentado (soporte, monitoreo y rollback)

## Checklist
- [ ] Implementacion completa
- [ ] Pruebas ejecutadas
- [ ] Documentacion actualizada","backlog,phase:F8,priority:P1","F8","P1","F8-04"
